bedrooms,bathrooms,area,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,parking,furnishingstatus,price
3,3,1965,1,yes,yes,no,no,yes,no,3,semi-furnished,338277
5,5,2562,2,yes,yes,no,no,yes,yes,3,furnished,577287
4,6,1978,2,no,no,no,no,yes,no,2,furnished,414081
3,3,1791,2,yes,no,yes,yes,yes,no,1,semi-furnished,345221
2,2,1208,2,yes,no,yes,no,yes,yes,0,unfurnished,236515
2,3,1161,1,yes,no,no,no,no,yes,2,semi-furnished,218733
1,1,669,3,yes,no,no,no,no,yes,1,unfurnished,146740
4,5,1749,3,yes,no,no,no,yes,no,2,unfurnished,375178
3,2,1622,2,yes,yes,no,no,yes,yes,1,furnished,374998
4,4,2131,1,yes,no,no,no,yes,yes,2,semi-furnished,416991
1,1,880,3,yes,no,no,no,no,no,0,semi-furnished,183525
5,4,2416,4,no,no,no,yes,yes,no,0,semi-furnished,424975
4,6,1910,1,yes,yes,no,no,yes,no,0,unfurnished,358690
2,2,1421,2,no,no,yes,yes,no,no,0,semi-furnished,261512
2,3,1036,1,yes,yes,no,no,no,yes,2,unfurnished,223711
2,2,1455,2,no,yes,no,no,yes,yes,2,unfurnished,263663
2,2,1099,1,yes,yes,yes,no,no,yes,2,semi-furnished,225761
3,4,1549,2,yes,no,no,yes,no,no,2,unfurnished,254253
3,2,1406,2,no,no,no,no,yes,no,2,furnished,309285
2,3,1199,2,no,no,yes,no,yes,no,1,furnished,269226
3,5,1895,2,yes,no,no,no,no,no,1,furnished,406049
2,3,1403,2,yes,no,yes,no,yes,yes,1,semi-furnished,284583
2,4,1495,2,yes,no,no,yes,yes,yes,2,furnished,324304
3,2,1804,1,yes,no,no,no,yes,yes,0,unfurnished,312610
3,3,1479,1,yes,yes,yes,no,no,yes,0,semi-furnished,328387
4,4,2033,3,yes,no,yes,no,no,no,2,semi-furnished,397478
2,3,1143,1,no,no,no,no,yes,yes,3,furnished,281869
3,5,1966,3,yes,no,yes,no,no,no,2,furnished,402981
3,3,1460,3,yes,no,yes,no,no,no,2,furnished,331651
1,2,1078,1,yes,no,no,no,no,yes,2,semi-furnished,208975
3,3,1878,2,yes,yes,yes,yes,yes,yes,1,semi-furnished,405005
2,3,1665,2,yes,no,yes,no,yes,yes,2,semi-furnished,335742
1,1,818,3,yes,no,no,no,yes,yes,2,semi-furnished,219889
5,6,2642,3,yes,no,no,yes,yes,no,1,unfurnished,451086
5,6,2956,3,no,no,no,no,yes,yes,1,furnished,597976
4,4,1976,1,yes,no,no,no,no,no,1,unfurnished,352707
2,2,992,2,yes,no,yes,no,yes,no,1,semi-furnished,229793
1,1,523,2,yes,no,yes,no,no,yes,2,semi-furnished,133630
3,3,1842,2,no,yes,yes,no,yes,no,1,furnished,413234
3,3,1323,1,yes,no,no,yes,yes,no,1,semi-furnished,268807
2,3,1225,1,yes,no,no,no,yes,no,2,furnished,243908
3,4,1787,3,yes,yes,no,yes,yes,yes,2,unfurnished,357119
1,2,937,2,no,no,no,no,yes,yes,2,semi-furnished,186348
5,5,2585,2,yes,no,no,no,no,yes,2,unfurnished,525864
2,3,1344,2,yes,no,yes,no,yes,yes,1,semi-furnished,306892
3,4,1955,3,no,yes,no,no,yes,no,2,furnished,403033
2,1,1109,3,yes,no,yes,no,yes,no,0,semi-furnished,221495
3,4,1564,1,yes,no,yes,no,yes,no,0,furnished,360203
3,4,1545,1,yes,no,no,no,yes,yes,1,unfurnished,322377
2,1,1466,1,yes,no,no,no,yes,yes,1,unfurnished,195689
5,5,2680,3,yes,yes,no,no,yes,no,3,unfurnished,502459
4,4,2190,2,yes,no,no,no,no,yes,3,semi-furnished,425599
5,5,2736,2,yes,yes,yes,yes,yes,yes,2,semi-furnished,515913
4,6,1864,2,yes,yes,no,no,no,yes,1,unfurnished,397284
3,4,2033,2,no,no,no,yes,yes,yes,3,furnished,469227
5,6,2804,3,yes,no,yes,no,no,no,2,unfurnished,517615
1,1,1047,2,yes,no,no,no,yes,yes,1,semi-furnished,225330
2,2,1656,1,yes,yes,no,no,yes,no,2,unfurnished,318802
1,2,568,1,yes,no,no,no,yes,no,0,unfurnished,102554
2,3,1195,2,yes,no,no,no,no,yes,0,unfurnished,195248
3,2,1552,3,yes,no,no,no,yes,no,2,semi-furnished,314739
2,3,1444,2,no,no,no,no,yes,yes,2,furnished,302419
4,5,1889,3,yes,no,yes,no,yes,no,1,semi-furnished,364880
3,3,1851,3,no,no,yes,no,yes,yes,2,unfurnished,346556
2,1,1574,1,no,yes,yes,no,yes,no,3,unfurnished,286430
3,4,1839,1,yes,no,yes,no,yes,yes,2,furnished,404902
2,2,1356,1,yes,no,no,no,yes,no,1,semi-furnished,229669
4,4,1902,3,no,no,no,no,yes,no,0,furnished,386805
1,1,730,1,no,no,yes,no,yes,yes,1,unfurnished,152210
6,6,3149,2,yes,no,yes,no,yes,no,3,furnished,614472
4,5,2255,2,yes,yes,yes,no,yes,yes,1,semi-furnished,454524
2,3,1292,3,yes,yes,no,no,no,yes,1,furnished,274459
1,1,816,1,no,no,no,no,yes,no,1,furnished,169488
4,5,1694,2,yes,yes,no,no,no,no,2,unfurnished,310059
4,5,1885,2,yes,no,no,no,yes,yes,2,furnished,452883
4,5,2482,2,no,no,yes,no,no,yes,2,furnished,503382
4,4,1843,3,yes,no,yes,no,yes,no,1,furnished,403324
1,1,937,1,yes,no,yes,no,yes,no,0,semi-furnished,181701
3,5,1901,3,yes,no,yes,no,yes,yes,3,semi-furnished,387055
2,3,1049,2,no,no,no,no,no,yes,3,furnished,258436
4,3,2136,2,yes,yes,no,no,yes,no,3,semi-furnished,393093
3,2,1887,2,yes,no,no,yes,yes,no,3,furnished,368871
2,2,1302,2,yes,no,no,no,yes,no,2,unfurnished,245347
1,3,1473,1,yes,no,yes,no,yes,yes,2,unfurnished,249988
2,3,966,2,yes,yes,yes,yes,yes,no,2,unfurnished,202633
2,2,1511,2,yes,no,no,no,yes,no,2,unfurnished,267284
4,4,2065,2,yes,no,no,no,yes,yes,0,furnished,436232
3,4,1854,2,no,no,yes,yes,yes,yes,1,furnished,405275
4,5,2188,3,no,no,no,no,no,no,3,unfurnished,399112
3,3,1553,2,yes,no,no,no,yes,yes,1,furnished,346561
2,3,1345,1,yes,no,no,no,yes,no,2,furnished,294371
4,6,1728,2,yes,yes,no,no,no,no,0,furnished,396812
4,4,2220,3,no,no,no,no,yes,no,1,semi-furnished,362423
3,4,1759,3,yes,no,no,no,yes,no,1,semi-furnished,304276
4,4,2227,2,yes,no,no,no,no,yes,0,furnished,491934
3,4,1911,3,yes,no,no,no,yes,yes,0,furnished,404019
3,4,1773,1,yes,yes,yes,no,yes,no,0,unfurnished,348764
3,4,1729,2,yes,yes,no,no,no,yes,2,furnished,381187
1,2,723,3,yes,no,yes,no,no,yes,0,unfurnished,168599
2,2,1157,3,yes,no,yes,no,yes,yes,1,furnished,274798
1,3,1137,2,yes,no,no,no,yes,yes,0,semi-furnished,275530
3,4,1987,3,yes,no,no,no,yes,no,2,semi-furnished,378276
2,2,1252,1,yes,no,yes,no,yes,yes,2,furnished,280528
