Neighborhood,Bedrooms,Bathrooms,Square_Feet,Year_Built,Age,Property_Type,Garage_Spaces,Has_Pool,Has_Fireplace,Has_AC,Lot_Size,Distance_to_School,Distance_to_Shopping,Distance_to_Highway,Price
University,3,4,1747,1979.0,45,Single Family,2,0,1,1,7269.0,0.4,1.3,1.1,283411
Riverside,3,4,1591,2022.0,2,Single Family,0,0,1,1,3205.0,1.0,0.6,5.3,322970
Hillside,3,2,1724,1955.0,69,Single Family,2,0,0,1,4042.0,1.4,0.8,3.3,297253
University,4,4,2241,1968.0,56,Single Family,2,0,0,0,7738.0,0.7,0.1,5.9,313593
Uptown,2,4,1344,2015.0,9,Single Family,1,0,1,0,8218.0,0.6,0.7,11.2,308731
Hillside,3,4,1497,1959.0,65,Single Family,2,1,0,1,11179.0,0.4,0.1,6.2,317977
Hillside,3,4,1599,1965.0,59,Single Family,2,0,0,1,6802.0,0.5,2.6,1.6,291490
University,2,2,1585,1986.0,38,Single Family,1,1,0,1,9849.0,1.7,4.6,5.1,240573
Suburban,4,4,2165,1981.0,43,Townhouse,2,0,0,1,7969.0,0.7,2.0,3.7,356267
Uptown,4,5,2268,1996.0,28,Single Family,0,0,0,1,9733.0,0.1,2.1,0.2,488201
University,3,4,1750,2021.0,3,Single Family,2,0,0,1,4724.0,0.2,1.3,8.0,237720
Uptown,4,5,2261,1992.0,32,Single Family,2,0,0,1,8266.0,0.7,0.3,1.9,467400
Uptown,4,4,2020,1985.0,39,Condo,0,0,0,0,9119.0,3.9,0.0,0.4,407455
Hillside,4,5,1946,1975.0,49,Townhouse,2,0,0,1,6510.0,0.7,0.8,1.7,382023
Riverside,4,4,2252,1959.0,65,Townhouse,2,0,0,1,9142.0,0.1,2.8,2.8,359644
Uptown,3,4,1925,1980.0,44,Single Family,2,0,0,1,9427.0,0.8,6.5,2.6,384059
Industrial,3,3,1517,1978.0,46,Condo,1,0,0,1,6446.0,1.7,1.1,2.6,189009
Hillside,3,3,1584,1954.0,70,Single Family,1,0,0,1,10326.0,1.4,0.9,0.9,296847
Suburban,4,5,2067,1950.0,74,Single Family,2,0,1,0,2000.0,0.5,1.2,3.0,306729
Riverside,2,4,1623,1952.0,72,Townhouse,1,0,1,0,2253.0,1.7,1.1,7.1,221805
Industrial,4,3,2212,2016.0,8,Single Family,1,0,0,1,4897.0,1.5,2.0,1.5,290920
Industrial,4,5,1835,2020.0,4,Duplex,2,0,0,1,8844.0,0.3,2.6,3.0,296921
Suburban,1,1,881,1984.0,40,Single Family,0,0,1,1,5735.0,0.3,3.1,0.8,128374
Riverside,4,4,2050,1964.0,60,Duplex,2,0,0,1,,1.2,2.1,0.1,362863
Hillside,2,1,1065,2016.0,8,Townhouse,2,0,0,0,7734.0,1.6,1.2,2.6,287453
Downtown,2,2,1279,1979.0,45,Single Family,2,0,1,1,8301.0,4.9,6.0,0.1,236355
Riverside,4,5,2041,1992.0,32,Single Family,1,0,1,0,6090.0,0.8,2.5,3.9,327705
Suburban,2,1,1227,2009.0,15,Single Family,1,0,0,1,4446.0,2.2,1.1,3.3,179844
Industrial,4,4,2018,1989.0,35,Condo,1,0,0,1,8021.0,0.2,1.2,1.4,256282
Hillside,4,6,2394,2014.0,10,Single Family,2,1,1,0,10384.0,3.3,3.4,1.6,550731
Riverside,3,3,1627,1978.0,46,Townhouse,0,0,0,1,4357.0,1.5,1.2,7.5,285040
Downtown,1,2,909,2023.0,1,Duplex,3,0,1,1,12742.0,1.5,1.5,0.0,308928
Downtown,2,2,1288,1968.0,56,Single Family,2,0,0,0,6300.0,0.2,0.7,2.5,231042
Uptown,3,4,1598,1952.0,72,Single Family,2,0,0,1,6089.0,0.1,3.7,7.7,290101
Uptown,6,6,2915,1985.0,39,Townhouse,1,0,0,1,8402.0,1.8,1.5,7.4,609515
University,3,3,1713,1992.0,32,Single Family,1,0,1,1,8309.0,0.2,1.6,2.6,278790
Suburban,2,2,1315,1964.0,60,Single Family,3,0,1,1,2000.0,0.2,4.3,1.4,182274
